sample_,agebp,ageup,agelo,deptime
1,8.0,,,
2,25.0,,,
3,42.0,,,
4,58.0,,,
5,75.0,,,
6,91.0,,,
7,108.0,,,
8,391.0,,,
9,673.0,,,
10,956.0,,,
11,1521.0,,,
12,1804.0,,,
13,2087.0,,,
14,2369.0,,,
15,2617.0,,,
16,2852.0,,,
17,3088.0,,,
18,3324.0,,,
19,3560.0,,,
20,3795.0,,,
21,4031.0,,,
22,4267.0,,,
23,4502.0,,,
24,4738.0,,,
25,4974.0,,,
26,5209.0,,,
27,5445.0,,,
28,5681.0,,,
29,5916.0,,,
30,6152.0,,,
31,6287.0,,,
32,6320.0,,,
33,6354.0,,,
34,6388.0,,,
35,6421.0,,,
36,6455.0,,,
37,6489.0,,,
38,6522.0,,,
39,6556.0,,,
40,6589.0,,,
41,6623.0,,,
42,6657.0,,,
43,6690.0,,,
44,6724.0,,,
45,6757.0,,,
46,6791.0,,,
47,6825.0,,,
48,6858.0,,,
49,6892.0,,,
50,6926.0,,,
51,6959.0,,,
52,6993.0,,,
53,7026.0,,,
54,7060.0,,,
